Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,NZVC,Адр,Знчн
0D0,AE0B,0D1,AE0B,0DC,0002,000,000B,0002,0000
0D1,0C00,0D2,0C00,7FF,0002,7FF,00D1,0002,0000,7FF,0002
0D2,AE0A,0D3,AE0A,0DD,0004,7FF,000A,0004,0000
0D3,0C00,0D4,0C00,7FE,0004,7FE,00D3,0004,0000,7FE,0004
0D4,AE09,0D5,AE09,0DE,0006,7FE,0009,0006,0000
0D5,0C00,0D6,0C00,7FD,0006,7FD,00D5,0006,0000,7FD,0006
0D6,AE08,0D7,AE08,0DF,0008,7FD,0008,0008,0000
0D7,0C00,0D8,0C00,7FC,0008,7FC,00D7,0008,0000,7FC,0008
0D8,D746,746,D746,7FB,00D9,7FB,D746,0008,0000,7FB,00D9
746,AC04,747,AC04,7FF,0002,7FB,0004,0002,0000
747,4C03,748,4C03,7FE,0004,7FB,0003,0006,0000
748,4C02,749,4C02,7FD,0006,7FB,0002,000C,0000
749,4C01,74A,4C01,7FC,0008,7FB,0001,0014,0000
74A,0580,74B,0580,74A,0580,7FB,074A,000A,0000
74B,0580,74C,0580,74B,0580,7FB,074B,0005,0000
74C,EC01,74D,EC01,7FC,0005,7FB,0001,0005,0000,7FC,0005
74D,0A00,0D9,0A00,7FB,00D9,7FC,074D,0005,0000
0D9,0800,0DA,0800,7FC,0005,7FD,00D9,0005,0000
0DA,EE05,0DB,EE05,0E0,0005,7FD,0005,0005,0000,0E0,0005
0DB,0100,0DC,0100,0DB,0100,7FD,00DB,0005,0000
