Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,NZVC,Адр,Знчн
0B2,0200,0B3,0200,0B2,0200,000,00B2,0000,0100
0B3,EE19,0B4,EE19,0CD,0000,000,0019,0000,0100,0CD,0000
0B4,AE15,0B5,AE15,0CA,021F,000,0015,021F,0000
0B5,0C00,0B6,0C00,7FF,021F,7FF,00B5,021F,0000,7FF,021F
0B6,D736,736,D736,7FE,00B7,7FE,D736,021F,0000,7FE,00B7
736,AC01,737,AC01,7FF,021F,7FE,0001,021F,0000
737,F309,741,F309,737,F309,7FE,0009,021F,0000
741,AE02,742,AE02,744,FA88,7FE,0002,FA88,1000
742,EC01,743,EC01,7FF,FA88,7FE,0001,FA88,1000,7FF,FA88
743,0A00,0B7,0A00,7FE,00B7,7FF,0743,FA88,1000
0B7,0800,0B8,0800,7FF,FA88,000,00B7,FA88,1000
0B8,6E14,0B9,6E14,0CD,0000,000,0014,FA88,1001
0B9,EE13,0BA,EE13,0CD,FA88,000,0013,FA88,1001,0CD,FA88
0BA,AE10,0BB,AE10,0CB,FE5A,000,0010,FE5A,1001
0BB,0C00,0BC,0C00,7FF,FE5A,7FF,00BB,FE5A,1001,7FF,FE5A
0BC,D736,736,D736,7FE,00BD,7FE,D736,FE5A,1001,7FE,00BD
736,AC01,737,AC01,7FF,FE5A,7FE,0001,FE5A,1001
737,F309,738,F309,737,F309,7FE,0737,FE5A,1001
738,6E0B,739,6E0B,744,FA88,7FE,000B,03D2,0001
739,F207,73A,F207,739,F207,7FE,0739,03D2,0001
73A,F006,73B,F006,73A,F006,7FE,073A,03D2,0001
73B,4E08,73C,4E08,744,FA88,7FE,0008,FE5A,1000
73C,0500,73D,0500,73C,FE5A,7FE,073C,FCB4,1001
73D,0500,73E,0500,73D,FCB4,7FE,073D,F968,1001
73E,4C01,73F,4C01,7FF,FE5A,7FE,0001,F7C2,1001
73F,4E05,740,4E05,745,00A2,7FE,0005,F864,1000
740,CE01,742,CE01,740,0742,7FE,0001,F864,1000
742,EC01,743,EC01,7FF,F864,7FE,0001,F864,1000,7FF,F864
743,0A00,0BD,0A00,7FE,00BD,7FF,0743,F864,1000
0BD,0800,0BE,0800,7FF,F864,000,00BD,F864,1000
0BE,0740,0BF,0740,0BE,0740,000,00BE,F863,1001
0BF,6E0D,0C0,6E0D,0CD,FA88,000,000D,FDDB,1000
0C0,EE0C,0C1,EE0C,0CD,FDDB,000,000C,FDDB,1000,0CD,FDDB
0C1,AE0A,0C2,AE0A,0CC,0000,000,000A,0000,0100
0C2,0700,0C3,0700,0C2,0700,000,00C2,0001,0000
0C3,0C00,0C4,0C00,7FF,0001,7FF,00C3,0001,0000,7FF,0001
0C4,D736,736,D736,7FE,00C5,7FE,D736,0001,0000,7FE,00C5
736,AC01,737,AC01,7FF,0001,7FE,0001,0001,0000
737,F309,741,F309,737,F309,7FE,0009,0001,0000
741,AE02,742,AE02,744,FA88,7FE,0002,FA88,1000
742,EC01,743,EC01,7FF,FA88,7FE,0001,FA88,1000,7FF,FA88
743,0A00,0C5,0A00,7FE,00C5,7FF,0743,FA88,1000
0C5,0800,0C6,0800,7FF,FA88,000,00C5,FA88,1000
0C6,0700,0C7,0700,0C6,0700,000,00C6,FA89,1000
0C7,6E05,0C8,6E05,0CD,FDDB,000,0005,FCAE,1000
0C8,EE04,0C9,EE04,0CD,FCAE,000,0004,FCAE,1000,0CD,FCAE
0C9,0100,0CA,0100,0C9,0100,000,00C9,FCAE,1000
