Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,NZVC,Адр,Знчн
073,0200,074,0200,073,0200,000,0073,0000,0101
074,1203,075,1203,074,1203,000,0074,0040,0101
075,2F40,076,2F40,075,0040,000,0040,0040,0001
076,F0FD,077,F0FD,076,F0FD,000,0076,0040,0001
077,AAF8,078,AAF8,5C1,EEEF,000,FFF8,EEEF,1001,070,05C2
078,EEF9,079,EEF9,072,EEEF,000,FFF9,EEEF,1001,072,EEEF
079,0680,07A,0680,079,0680,000,0079,EFEE,1001
07A,0600,07B,0600,07A,0600,000,007A,FFEE,1001
07B,7EF5,07C,7EF5,071,0000,000,FFF5,FFEE,1001
07C,F00A,07D,F00A,07C,F00A,000,007C,FFEE,1001
07D,1302,07E,1302,07D,1302,000,007D,FFEE,1001
07E,1203,07F,1203,07E,1203,000,007E,FF40,1001
07F,2F40,080,2F40,07F,0040,000,0040,0040,0001
080,F0FD,081,F0FD,080,F0FD,000,0080,0040,0001
081,AEF0,082,AEF0,072,EEEF,000,FFF0,EEEF,1001
082,0600,083,0600,082,0600,000,0082,FFEF,1001
083,7EED,084,7EED,071,0000,000,FFED,FFEF,1001
084,F002,085,F002,084,F002,000,0084,FFEF,1001
085,1302,086,1302,085,1302,000,0085,FFEF,1001
086,CEED,074,CEED,086,0074,000,FFED,FFEF,1001
074,1203,075,1203,074,1203,000,0074,FF40,1001
075,2F40,076,2F40,075,0040,000,0040,0040,0001
076,F0FD,077,F0FD,076,F0FD,000,0076,0040,0001
077,AAF8,078,AAF8,5C2,FEF8,000,FFF8,FEF8,1001,070,05C3
078,EEF9,079,EEF9,072,FEF8,000,FFF9,FEF8,1001,072,FEF8
079,0680,07A,0680,079,0680,000,0079,F8FE,1001
07A,0600,07B,0600,07A,0600,000,007A,FFFE,1001
07B,7EF5,07C,7EF5,071,0000,000,FFF5,FFFE,1001
07C,F00A,07D,F00A,07C,F00A,000,007C,FFFE,1001
07D,1302,07E,1302,07D,1302,000,007D,FFFE,1001
07E,1203,07F,1203,07E,1203,000,007E,FF40,1001
07F,2F40,080,2F40,07F,0040,000,0040,0040,0001
080,F0FD,081,F0FD,080,F0FD,000,0080,0040,0001
081,AEF0,082,AEF0,072,FEF8,000,FFF0,FEF8,1001
082,0600,083,0600,082,0600,000,0082,FFF8,1001
083,7EED,084,7EED,071,0000,000,FFED,FFF8,1001
084,F002,085,F002,084,F002,000,0084,FFF8,1001
085,1302,086,1302,085,1302,000,0085,FFF8,1001
086,CEED,074,CEED,086,0074,000,FFED,FFF8,1001
074,1203,075,1203,074,1203,000,0074,FF40,1001
075,2F40,076,2F40,075,0040,000,0040,0040,0001
076,F0FD,077,F0FD,076,F0FD,000,0076,0040,0001
077,AAF8,078,AAF8,5C3,2100,000,FFF8,2100,0001,070,05C4
078,EEF9,079,EEF9,072,2100,000,FFF9,2100,0001,072,2100
079,0680,07A,0680,079,0680,000,0079,0021,0001
07A,0600,07B,0600,07A,0600,000,007A,0021,0001
07B,7EF5,07C,7EF5,071,0000,000,FFF5,0021,0001
07C,F00A,07D,F00A,07C,F00A,000,007C,0021,0001
07D,1302,07E,1302,07D,1302,000,007D,0021,0001
07E,1203,07F,1203,07E,1203,000,007E,0040,0001
07F,2F40,080,2F40,07F,0040,000,0040,0040,0001
080,F0FD,081,F0FD,080,F0FD,000,0080,0040,0001
081,AEF0,082,AEF0,072,2100,000,FFF0,2100,0001
082,0600,083,0600,082,0600,000,0082,0000,0101
083,7EED,084,7EED,071,0000,000,FFED,0000,0101
084,F002,087,F002,084,F002,000,0002,0000,0101
087,0100,088,0100,087,0100,000,0087,0000,0101
